"['g1', 'tau1']","['g2', 'tau2']",OBJ,G0,G1,G2
8.9999999999999997e-02,4.0271000000000001e+01,5.0000000000000003e-02,1.8000000000000000e+03,5.6520377070605698e-02,-1.0000000000000000e+00,-3.1000000000000000e-02,-8.8813611111111113e-01
9.0450000000000003e-02,4.0271000000000001e+01,5.0000000000000003e-02,1.8000000000000000e+03,5.6178455154057123e-02,-1.0000000000000000e+00,-3.1405000000000002e-02,-8.8813611111111113e-01
8.9999999999999997e-02,4.0472355000000000e+01,5.0000000000000003e-02,1.8000000000000000e+03,5.6496000008468689e-02,-1.0000000000000000e+00,-3.1000000000000000e-02,-8.8757679166666659e-01
8.9999999999999997e-02,4.0271000000000001e+01,5.0250000000000003e-02,1.8000000000000000e+03,5.6403892268782299e-02,-1.0000000000000000e+00,-3.0750000000000000e-02,-8.8813611111111113e-01
8.9999999999999997e-02,4.0271000000000001e+01,5.0000000000000003e-02,1.8090000000000000e+03,5.6581653426926427e-02,-1.0000000000000000e+00,-3.1000000000000000e-02,-8.9313611111111113e-01
9.0923114831206228e-02,4.0300448288448209e+01,5.0174713132133134e-02,1.7966913432228664e+03,5.5711459746078544e-02,-1.0000000000000000e+00,-3.1656090215952476e-02,-8.8621616765590294e-01
9.0352598502359494e-02,4.0282248245670928e+01,5.0066734480532817e-02,1.7987362055239491e+03,5.6211277758764590e-02,-1.0000000000000000e+00,-3.1250604171590736e-02,-8.8740275794199697e-01
9.0570516356357683e-02,4.0289200043654908e+01,5.0107978656807182e-02,1.7979551376003114e+03,5.6020354676744190e-02,-1.0000000000000000e+00,-3.1405486063914738e-02,-8.8694952076779832e-01
9.0705196994088730e-02,4.0293496491002756e+01,5.0133468959053684e-02,1.7974724110860000e+03,5.5902369899773881e-02,-1.0000000000000000e+00,-3.1501208335626169e-02,-8.8666940479499223e-01
9.0788434203983456e-02,4.0296151841435595e+01,5.0149222831875472e-02,1.7971740696995141e+03,5.5829415023390519e-02,-1.0000000000000000e+00,-3.1560367951709641e-02,-8.8649628360685340e-01
9.0839877627759372e-02,4.0297792938221065e+01,5.0158959260531696e-02,1.7969896845862420e+03,5.5784342685773529e-02,-1.0000000000000000e+00,-3.1596930604451734e-02,-8.8638928883063151e-01
9.1377730405362262e-02,4.0300448288448209e+01,5.0174713132133134e-02,1.7966913432228664e+03,5.5366537082075042e-02,-1.0000000000000000e+00,-3.2065244232692899e-02,-8.8621616765590294e-01
9.0923114831206228e-02,4.0501950529890451e+01,5.0174713132133134e-02,1.7966913432228664e+03,5.5686740847534867e-02,-1.0000000000000000e+00,-3.1656090215952476e-02,-8.8565643920745241e-01
9.0923114831206228e-02,4.0300448288448209e+01,5.0425586697793796e-02,1.7966913432228664e+03,5.5594412900881025e-02,-1.0000000000000000e+00,-3.1405216650291813e-02,-8.8621616765590294e-01
9.0923114831206228e-02,4.0300448288448209e+01,5.0174713132133134e-02,1.8056747999389806e+03,5.5772953804110369e-02,-1.0000000000000000e+00,-3.1656090215952476e-02,-8.9120697694263307e-01
9.5509858602908476e-02,4.0461199845706645e+01,5.1059028860798647e-02,1.7794965284727155e+03,5.1690931883134721e-02,-1.0000000000000000e+00,-3.4899843881818979e-02,-8.7621696069121235e-01
9.2675095115712883e-02,4.0361849921728449e+01,5.0512491695535663e-02,1.7901235081883779e+03,5.4172986091380416e-02,-1.0000000000000000e+00,-3.2895093908605927e-02,-8.8239681032207540e-01
9.3757878455097463e-02,4.0399798217217167e+01,5.0721250323750779e-02,1.7860643629947588e+03,5.3223839528150872e-02,-1.0000000000000000e+00,-3.3660840285836942e-02,-8.8003631772704050e-01
9.4427075347400163e-02,4.0423251553157542e+01,5.0850270248754728e-02,1.7835556733518988e+03,5.2637868981878631e-02,-1.0000000000000000e+00,-3.4134097563905424e-02,-8.7857745310339508e-01
9.4840661762818856e-02,4.0437746511596174e+01,5.0930008945861277e-02,1.7820052179198385e+03,5.2276013631123025e-02,-1.0000000000000000e+00,-3.4426586640675702e-02,-8.7767582520103204e-01
9.5096272219527656e-02,4.0446704888390848e+01,5.0979290169868942e-02,1.7810469837846717e+03,5.2052414422851259e-02,-1.0000000000000000e+00,-3.4607354827705945e-02,-8.7711858852373203e-01
9.5987407895923027e-02,4.0461199845706645e+01,5.1059028860798647e-02,1.7794965284727155e+03,5.1331877748645185e-02,-1.0000000000000000e+00,-3.5329638245532077e-02,-8.7621696069121235e-01
